event_id,path,source_uid,intent,entry_heading_deg,net_yaw_deg_db,net_yaw_deg_recomputed,absolute_yaw_deg,budget_deg,heading_quality,valid,longest_same_sign_turn_seconds,mechanical_spin_ratio,budget_violation,nonturn_mechanical_fail,metric_mismatch,motion_ok,reason
54,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000054.npy,female_36pose_2,none,-0.12494242936372757,-5.2943806648254395,-5.29438100777401,22.269913751096613,30.0,1.0,True,0.7,0.27956989247311825,False,False,False,True,
55,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000057.npy,female_36pose_2,none,-0.11892186105251312,4.688587665557861,4.688588051510307,8.702649672478604,30.0,1.0,True,0.0,0.0,False,False,False,True,
56,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000060.npy,female_36pose_2,none,0.3265255093574524,18.86627960205078,18.86628022351752,23.43507059896721,30.0,1.0,True,0.9333333333333333,0.45121951219512196,False,False,False,True,
57,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000061.npy,female_36pose_2,none,0.205543652176857,-5.008613109588623,-5.0086135768634925,15.998669696717272,30.0,1.0,True,0.0,0.0,False,False,False,True,
58,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000062.npy,female_36pose_2,none,-0.10474381595849991,0.5084401369094849,0.5084401355893954,3.7990920890127238,30.0,1.0,True,0.0,0.0,False,False,False,True,
59,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000063.npy,female_36pose_2,none,0.026840733364224434,-8.02696418762207,-8.02696467109863,8.02696467109863,30.0,1.0,True,0.3333333333333333,0.21739130434782608,False,False,False,True,
60,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000064.npy,female_36pose_2,none,-0.07146158814430237,-4.776088714599609,-4.776089178080517,32.83129524580934,30.0,1.0,True,0.9666666666666667,0.45132743362831856,False,False,False,True,
61,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000065.npy,female_36pose_2,none,0.08851241320371628,3.1256227493286133,3.125622843688184,18.446911731120615,30.0,1.0,True,0.5,0.19791666666666666,False,False,False,True,
62,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000066.npy,female_36pose_2,none,-0.07143530249595642,2.699946880340576,2.699947098479595,3.782496436876885,30.0,1.0,True,0.0,0.0,False,False,False,True,
63,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000067.npy,female_36pose_2,none,-0.003692516591399908,-0.11302140355110168,-0.11302140803244885,12.452794064578077,30.0,1.0,True,0.4666666666666667,0.175,False,False,False,True,
64,/home/disk/lsm/storage/DunhuangDanceRAG/outputs/run_20260719_214303/event_db_split/train/events/event_0000073.npy,female_36pose_2,none,-0.09424349665641785,-0.09332163631916046,-0.09332164169214452,5.4812746202594225,30.0,1.0,True,0.0,0.0,False,False,False,True,
