slot,prev_event_id,curr_event_id,candidate_rank,transition_start,transition_end,transition_len,content_start,predicted_risk_score,predicted_boundary_jerk,predicted_exit_fk_jump,actual_risk_score,actual_boundary_jerk,actual_exit_fk_jump,actual_exit_rotation_step_rad,actual_foot_slip,actual_foot_penetration,actual_contact_switch,core_warp,safe,decision
33,1063,1063,86,2242,2271,29,2271,1.1398827684757538,234.7657470703125,0.0006221036630756683,2.515436788329882,410.06640625,0.0006393092195776012,0.00023299679742194712,0.05140445147604436,0.0,0.0,0.9298245614035088,True,reselected_heading_physics_safe
34,1063,1063,88,2324,2355,31,2355,1.0500946678888654,227.75245666503906,0.000542208136358932,2.207476376676254,349.8343811035156,0.0005572904145778422,0.00019258796237409115,0.05057811072037943,0.0,0.0,1.0701754385964912,True,reselected_heading_physics_safe
35,1063,1063,86,2416,2445,29,2445,1.0422414161205378,207.19500732421875,0.0006141770499505033,2.287165144081238,413.5453186035156,0.000629538615799666,0.00023299679742194712,0.05667982477977696,0.0,0.0,0.9298245614035088,True,reselected_heading_physics_safe
36,1063,1063,86,2498,2527,29,2527,1.1085456762922021,228.95680236816406,0.0006164866473728913,2.3408245252961097,415.6690673828125,0.0006331753065739942,0.00023299679742194712,0.061588714528660174,0.0,0.0,0.9298245614035088,True,reselected_heading_physics_safe
37,1063,1063,0,2580,2597,17,2597,1.5842400029272912,231.77801513671875,0.0008519598228148483,3.3892715548546044,548.4854125976562,0.0010692193349656313,0.0033125884365290403,0.12208558279968779,0.0,0.0,0.6842105263157895,True,accepted_heading_physics_safe
38,1063,689,18,2636,2654,18,2654,2.042069421442651,254.77606201171875,0.0004766677358379654,5.217611911477731,419.6438293457031,0.0014983569077169313,0.010753246955573559,0.1285617814713934,0.0,0.0,0.6909090909090909,True,reselected_heading_physics_safe
39,689,673,85,2692,2718,26,2718,1.1928742992877988,67.43482208251953,0.00019383396648569833,2.299334416162462,190.2818145751953,0.00021727169975433884,0.0012743761762976646,0.08025841759003974,0.0,0.0,0.7192982456140351,True,reselected_heading_physics_safe
40,673,695,4,2759,2788,29,2788,1.0286541276920356,56.46613693237305,0.0006016211428103299,2.4857358892980157,359.3243103027344,0.0006129340639010763,0.00045645690988749266,0.14922668997328611,0.0,0.0,0.828125,True,reselected_heading_physics_safe
41,695,695,3,2841,2866,25,2866,0.988704697661847,140.3505859375,0.000539612719000289,1.8953027132675058,234.1385040283203,0.0005661276276829224,0.0005337054608389735,0.0753501259766947,0.0,0.0,0.875,True,reselected_heading_physics_safe
42,695,695,27,2922,2947,25,2947,0.9957671606657135,148.7234649658203,0.0005357595788502654,1.8590789277926816,230.7837371826172,0.000560264899796854,0.0005337279289960861,0.07311822744176175,0.0,0.0,0.890625,True,reselected_heading_physics_safe
43,695,1063,21,3004,3022,18,3022,1.9316309462817003,147.95237731933594,0.0008521886498762492,5.8954085461014625,552.1537475585938,0.003777324772908535,0.014717595651745796,0.16602481785566212,0.0,0.014705882407724857,0.6842105263157895,True,reselected_heading_physics_safe
44,1063,673,71,3061,3087,26,3087,1.396922603817279,244.8341064453125,0.00020797381421458437,2.997824319229525,460.2489929199219,0.00024378128126909625,0.0018281423253938556,0.07735780291432698,0.0,0.009999999776482582,0.7017543859649122,True,reselected_heading_physics_safe
45,673,695,54,3127,3156,29,3156,1.021782515556416,68.31991577148438,0.0005888138795393503,2.508348355601742,355.8460388183594,0.0005988592966945588,0.0004564270784612745,0.14960562390631396,0.0,0.0,0.828125,True,reselected_heading_physics_safe
46,695,695,86,3209,3233,24,3233,1.0008508169323524,133.6722869873047,0.0005795919559998118,2.0162687322493666,249.7364959716797,0.0006048497698349022,0.0005996925756335258,0.07524443698066241,0.0,0.0,0.8125,True,reselected_heading_physics_safe
47,695,694,25,3285,3313,28,3313,1.1289824166810012,126.6203384399414,0.004159277205664895,2.5470312472590626,410.1595458984375,0.0042152752355699066,0.00027035476523451507,0.19854860846624742,0.0,0.0,0.6875,True,reselected_heading_physics_safe
